repository,stars,age_years,ai_score,ai_validation_reason,pre_commits,pre_issues,pre_avg_resolution_hours,pre_issue_rate_per_month,pre_fix_percent,pre_revert_percent,pre_avg_lines_changed,pre_avg_mi,pre_median_mi,pre_std_mi,pos_commits,pos_issues,pos_avg_resolution_hours,pos_issue_rate_per_month,pos_fix_percent,pos_revert_percent,pos_avg_lines_changed,pos_avg_mi,pos_median_mi,pos_std_mi,comparison_mi_change_percent
ray-project/ray,42423,9.5,5,Arquivo detectado: .claude; Co-autoria detectada no commit a68fc8d: 'claude',1000,3536,12107.990134874291,589.3333333333334,32.2,8.200000000000001,226.667,60.98732946872022,58.04795717196166,24.135918894029125,1000,1494,3725.4388089022755,249.0,46.2,1.9,844.269,62.68577871158844,59.411197051708484,24.564211780975352,2.784921487239967
psf/black,41488,8.1,6,Co-autoria detectada no commit 55003e6: 'claude'; Co-autoria detectada no commit 5cdb4b6: 'copilot',145,553,11613.48646491228,92.16666666666667,33.793103448275865,0.6896551724137931,90.42068965517241,58.54332389806259,56.96967213695534,32.208691338259285,142,108,9265.149729166667,18.0,33.098591549295776,2.112676056338028,75.43661971830986,58.510364697525794,55.960678849418095,31.690955948070172,-0.05629881998873825
home-assistant/core,86919,12.6,12,Arquivo detectado: .claude; Arquivo detectado: .github/copilot-instructions.md; Arquivo detectado: .vscode/extensions.json; Co-autoria detectada no commit 597d9a2: 'copilot'; Co-autoria detectada no commit 1b4a7d5: 'claude',1000,6376,2468.2520593493805,1062.6666666666667,16.0,0.7000000000000001,96.065,65.00377824108867,57.513267742752326,25.82930710945357,1000,8528,2118.936835507072,1421.3333333333333,16.5,1.0,229.792,68.19091769486447,60.50038690769931,25.27875741399326,4.903006471339568
nicolargo/glances,32451,14.4,8,Arquivo detectado: .claude; Co-autoria detectada no commit 5b8e8ad: 'claude'; Co-autoria detectada no commit 07c10a6: 'copilot',195,306,28430.633514578407,51.0,22.564102564102566,0.0,2007.4769230769232,65.69360318339857,67.98343533587236,15.579329104354793,507,166,9027.13558641975,27.666666666666668,16.962524654832347,1.183431952662722,612.9368836291914,66.4188968450712,67.09855428705407,19.653457711115674,1.104055229925227
python-poetry/poetry,34274,8.2,6,Co-autoria detectada no commit f9b1236: 'copilot'; Co-autoria detectada no commit 1449345: 'claude',173,3313,7005.552655988275,552.1666666666666,41.61849710982659,2.312138728323699,147.78034682080926,66.8195327790911,64.9003012384472,28.859223068359853,137,144,5379.381961805556,24.0,43.06569343065693,0.0,114.16788321167883,64.31876093951806,60.102491058194445,26.763597691601422,-3.7425760635602336
trailofbits/algo,30235,10.0,3,Co-autoria detectada no commit de11b86: 'claude',24,178,22656.66851340996,29.666666666666668,33.33333333333333,0.0,102.04166666666667,51.90493520776679,52.93880345038512,15.840241906575203,116,101,20056.420486111107,16.833333333333332,35.3448275862069,1.7241379310344827,78.76724137931035,58.377654159194925,67.8480776155659,17.10000344332558,12.470334324701344
encode/django-rest-framework,29994,15.2,3,Co-autoria detectada no commit 8d4c2d0: 'copilot',64,316,13654.173122605363,52.666666666666664,32.8125,3.125,11.59375,57.91100869434001,55.84359154600634,25.045498402772605,83,38,14732.461336805554,6.333333333333333,31.32530120481928,3.614457831325301,229.80722891566265,59.15047854891739,56.15904797385138,25.683563714732884,2.1403009246815623
numpy/numpy,31969,15.6,3,Co-autoria detectada no commit aafacc6: 'claude',1000,1895,27230.476124932815,315.8333333333333,35.8,1.6,218.626,55.125371910538064,54.690121545625445,27.328690135939954,1000,498,12534.656799074075,83.0,25.6,1.7000000000000002,459.12,58.99537351697585,60.931970773686686,28.110308160361885,7.020363713315788
Lightning-AI/pytorch-lightning,31108,7.1,6,Co-autoria detectada no commit bf93b18: 'copilot'; Co-autoria detectada no commit 648ec13: 'claude',1000,1494,2556.3859502209816,249.0,26.700000000000003,1.2,100.685,68.44127822560866,70.18703547606425,23.998165201782637,165,187,5564.597979797981,31.166666666666668,39.39393939393939,5.454545454545454,118.01818181818182,70.2297935689145,73.06480539436849,25.97491315782536,2.613211485341076
AtsushiSakai/PythonRobotics,29400,10.1,3,Co-autoria detectada no commit 1311b94: 'copilot',61,33,5129.157562724015,5.5,57.377049180327866,6.557377049180328,254.47540983606558,50.534981408940695,45.45534734193423,20.11486960916666,28,10,5523.955277777778,1.6666666666666667,78.57142857142857,0.0,2.2142857142857144,49.898886862177974,45.99808151836236,18.410426851816876,-1.2587212442313909
python-telegram-bot/python-telegram-bot,29077,10.8,2,Arquivo detectado: .github/copilot-instructions.md,17,830,1468.4147771746414,138.33333333333334,41.17647058823529,5.88235294117647,250.23529411764707,83.17404725890805,92.85530704925111,21.968013106430316,92,34,830.651388888889,5.666666666666667,6.521739130434782,0.0,128.65217391304347,76.61542261375288,80.75534566970896,21.290311227550283,-7.885422029228867
locustio/locust,27753,15.2,7,Arquivo detectado: .vscode/settings.json; Arquivo detectado: .vscode/extensions.json; Co-autoria detectada no commit 350e011: 'claude',410,187,3358.2748588829472,31.166666666666668,26.097560975609756,0.975609756097561,99.14146341463415,61.1617880561493,58.90513788925423,26.655866898489535,256,37,3617.429047619048,6.166666666666667,21.875,0.0,106.98828125,56.91428964543032,57.80111880535871,24.895375737326713,-6.944692994945764
celery/celery,28427,17.0,5,Arquivo detectado: .github/copilot-instructions.md; Co-autoria detectada no commit 6b20dcd: 'copilot',177,793,12523.388129910212,132.16666666666666,33.33333333333333,2.2598870056497176,33.54237288135593,50.288333143883605,48.35865849667141,27.314467552299547,155,131,15139.753797425474,21.833333333333332,50.967741935483865,2.5806451612903225,70.04516129032258,52.28782577955862,50.57662864086864,28.63206706897776,3.976056692820018
pydantic/pydantic,27681,9.0,3,Co-autoria detectada no commit af85f64: 'claude',110,633,12027.194361825652,105.5,56.36363636363636,1.8181818181818181,60.018181818181816,52.95881326978609,51.47169123360781,30.679456827227373,242,383,1513.944138242894,63.833333333333336,23.96694214876033,1.2396694214876034,152.01239669421489,54.791373024608404,53.26333824794839,30.715325875881586,3.460348980039966
PostHog/posthog,34284,6.3,11,Arquivo detectado: .cursor; Arquivo detectado: .cursorrules; Arquivo detectado: .claude; Arquivo detectado: .vscode/extensions.json; Co-autoria detectada no commit 4c2598e: 'claude',1000,1496,10477.661386977135,249.33333333333334,36.9,6.6000000000000005,450.424,67.9369454242911,63.48230275465068,24.006896815187776,1000,2002,5547.810292063493,333.6666666666667,42.699999999999996,1.2,392.206,64.58671028498631,59.72639055865856,27.85409237559817,-4.9313891261688925
keon/algorithms,25442,9.5,3,Co-autoria detectada no commit 9d9d822: 'claude',9,55,51318.16611616163,9.166666666666666,33.33333333333333,0.0,14.666666666666666,70.40670088230691,67.40020920632249,16.08711214867214,61,79,38932.659476911984,13.166666666666666,45.90163934426229,0.0,2210.344262295082,59.981922190851144,58.41712712855393,15.136928207148953,-14.806514949311442
ArchiveBox/ArchiveBox,27382,9.0,5,Arquivo detectado: .claude; Co-autoria detectada no commit f97725d: 'claude',54,302,6510.59327689243,50.333333333333336,18.51851851851852,0.0,23.74074074074074,66.94460417107254,69.62219561226509,21.392809718161555,385,69,19467.11774176955,11.5,38.44155844155844,1.2987012987012987,1109.4233766233767,57.660053015686906,54.02159230361065,28.60827176564557,-13.869005979420798
spotDL/spotify-downloader,24641,9.8,5,Arquivo detectado: .vscode/settings.json; Co-autoria detectada no commit c0f8e64: 'copilot',54,98,772.4872222222222,16.333333333333332,46.2962962962963,7.4074074074074066,18916.555555555555,75.37073498587404,72.88305125101206,19.25295137091501,37,82,1319.4911543209876,13.666666666666666,37.83783783783784,2.7027027027027026,2498.2702702702704,66.33086559540348,63.42554855979416,22.059055557654844,-11.993871881659118
Delgan/loguru,23854,8.7,2,Arquivo detectado: .vscode/settings.json,4,183,4177.876009204471,30.5,50.0,0.0,3.75,48.983775381402886,49.947778418046965,28.10523254940011,37,47,4192.508599033817,7.833333333333333,29.72972972972973,0.0,28.56756756756757,50.02196623901989,55.49293244222925,25.803353308362155,2.1194586361164016
pyg-team/pytorch_geometric,23717,8.6,3,Co-autoria detectada no commit abbb4b8: 'claude',426,928,13212.759764928192,154.66666666666666,35.44600938967136,0.9389671361502347,107.98826291079813,60.33140693425711,55.990367443235975,19.24638678254869,68,78,11844.708665123459,13.0,27.941176470588236,1.4705882352941175,200.77941176470588,57.82067209831675,54.65908979348929,20.49036375213599,-4.16157183053314
mlflow/mlflow,25726,7.9,12,Arquivo detectado: .claude; Arquivo detectado: .vscode/settings.json; Arquivo detectado: .vscode/extensions.json; Co-autoria detectada no commit 2f79947: 'claude'; Co-autoria detectada no commit bfae989: 'copilot',352,825,19824.62330794504,137.5,57.67045454545454,8.522727272727272,3039.338068181818,63.348235535393144,58.64133599530002,23.884113355178066,1000,961,10071.484580256682,160.16666666666666,22.0,0.4,587.048,63.66772152689102,60.08052767649655,26.195341722029198,0.504332897037643
zulip/zulip,25138,10.6,7,Arquivo detectado: .claude; Arquivo detectado: .vscode/extensions.json; Co-autoria detectada no commit 843cf84: 'claude',1000,1866,28647.043339579657,311.0,28.299999999999997,0.4,230.048,67.70339660117553,65.73865527917303,24.548042386016707,1000,1749,22486.971001984126,291.5,36.0,0.8,420.753,65.64700103591686,63.490988807627126,25.0791925808973,-3.0373595247700815
serengil/deepface,22666,6.2,2,Arquivo detectado: .vscode/settings.json,105,125,175.1206822222222,20.833333333333332,5.714285714285714,0.0,14.876190476190477,66.02753783279186,67.71546303694177,17.710458599899972,45,47,1618.8392165242165,7.833333333333333,2.2222222222222223,0.0,510.3333333333333,67.56596110412664,69.17869689462285,20.065411682750838,2.3299721931638304
pypa/pipenv,25076,9.3,6,Co-autoria detectada no commit 405cab5: 'copilot'; Co-autoria detectada no commit 87dffe0: 'claude',179,772,19613.26051345711,128.66666666666666,40.22346368715084,0.0,3586.04469273743,61.17214558050517,58.991735325427165,29.345736428556183,401,269,24427.19685429769,44.833333333333336,66.83291770573567,0.7481296758104738,953.3441396508728,59.13352234777761,56.445091762842594,26.50691287083085,-3.332600505314385
goauthentik/authentik,21313,6.3,4,Arquivo detectado: .vscode/settings.json; Arquivo detectado: .vscode/extensions.json,1000,178,2409.8287666666665,29.666666666666668,23.799999999999997,1.6,363.327,77.05569079486251,72.08839155203296,22.056655992201133,1000,1003,4250.991432702419,167.16666666666666,38.1,0.8,1634.126,73.55913655131275,68.28318364595535,23.74502734981352,-4.537697615168081
